,id,lat,lon,name,capacity,Distrito
200,2420239426,37.3812308,-5.9935552, Calle Roma,20,2
201,2420239427,37.3854144,-6.0111606, Ronda de Triana,20,4
202,2420239428,37.3831234,-6.0108763, Ronda de Triana,15,4
203,2420239429,37.3815146,-5.9955663, Paseo de Cristóbal Colón,20,2
204,2420239430,37.3817511,-5.9933071, Avenida de Roma,30,4
205,2420239431,37.3589104,-5.9806202, Calle Francisco Murillo,19,3
206,2420239432,37.3801188,-6.0043502, Avenida Esperanza de Triana,20,1
207,2420239434,37.3777579,-6.0070758, Calle López de Gomara,20,3
208,2420239435,37.3614304,-5.9816032, Calle Manuel Siurot,20,2
209,2420239436,37.3773761,-5.9918804, Avenida de Chile,20,4
210,2420239437,37.3785777,-5.9784022, Calle Enramadilla,20,3
211,2420239438,37.3777629,-5.9773334, Calle Enramadilla,20,1
212,2490808701,37.3946087,-5.9799727, Calle Urquiza,20,3
213,2490850936,37.3629714,-5.9862622, Avenida Reina Mercedes,27,1
214,2491178905,37.3697994,-5.9781947, Avenida Cardenal Bueno Monreal,20,4
215,2496300111,37.4000005,-5.9691031, Avenida Alcalde Manuel del Valle,20,1
216,2708613136,37.3790204,-5.9688772, Plaza Antonio Aparicio Herrero,18,3
217,2783997551,37.3885079,-5.959401, Ronda del Tamarguillo,13,3
218,2784043556,37.376576,-5.9727121, Avenida Ramón y Cajal,20,1
219,2784043566,37.3670886,-5.971157, Ronda Tamarguillo,19,4
220,2784043603,37.3695198,-5.9686169, Ronda Tamarguillo,20,3
221,2784072415,37.377487,-5.9665541, Avenida de la Ciudad Jardin,20,4
222,2784072416,37.4110149,-5.971678, Alcalde Manuel del Valle,15,1
223,2784083444,37.4086593,-5.9731965, Calle Orfebre Dominguez Vázquez,20,3
224,2784083447,37.3700534,-5.9594961, Avenida Hytasa,20,3
225,2784083449,37.3741964,-6.0088305, Glorieta Carlos Cano,20,1
226,2784083452,37.3783344,-6.0115563, Avenida de Alvar Núñez,19,4
227,2784083454,37.3811114,-6.0120053, Avenida de Coria,20,3
228,2923819815,37.4189136,-5.9632171, Camino de los Toros,20,2
229,2923830557,37.4114666,-5.9667631, Avenida Mujer Trabajadora,20,4
230,2923830558,37.3976897,-5.9616014, Calle Doctor Laffon,15,3
231,2923860807,37.3871628,-5.9483902, Avenida de Andalucía - Aprox. Entrada TUSSAM,20,1
232,2923875773,37.3970135,-5.923757, Avenida de las Ciencias,15,1
233,2923875774,37.3973905,-5.918777, Calle Flor de Retama,15,3
234,2940255732,37.4028629,-5.9217537, Avenida Doctor Emilio Lemos,15,4
235,2940272341,37.4039396,-5.939739, Avenida Alcalde Luis Uruñuela,15,2
236,2940272342,37.4117358,-5.9298591, Ciudad de Chiva,15,4
237,2940297649,37.4102171,-5.9264224, Ciudad de Chiva,15,4
238,2940297650,37.4081326,-5.919993, Ciudad de Chiva,15,2
239,2940324169,37.3888532,-5.9962357, Plaza Nueva,20,4
240,2940324170,37.38889,-5.9962396, Plaza Nueva,20,1
241,2940331473,37.4247584,-5.9848237, Calle Navarra,15,1
242,2940334917,37.3843494,-5.9653784, Avda. Cruz Campo,15,2
243,2940339724,37.3837695,-5.9089219, Torres Albarracin,20,3
244,2940339725,37.3673184,-5.9541171, Ocho de Marzo,30,3
245,2940339726,37.378801,-5.9456668, Revoltosa,20,4
246,2940720305,37.3902925,-5.9799642, Calle Juan Antonio Cabestany,15,1
248,5587757035,37.3757344,-5.9991689,8) Calle Virgen de Loreto,18,2
